cardFull;artist;scarcity;serial;priceETH;priceEUR;date
azur-season-1-common;Azur;Common;2425;0,002;1,981;15/11/2022 17:27:14
mahdi-ba-season-1-common;Mahdi Ba;Common;2495;0,003;3,166;15/11/2022 14:00:18
spider-zed-season-1-common;Spider Zed;Common;2375;0,002;2,68;15/11/2022 13:36:15
azur-season-1-common;Azur;Common;2475;0,002;2,462;15/11/2022 12:59:14
moji-x-sboy-season-1-common;Moji x Sboy;Common;2426;0,003;3,095;15/11/2022 02:01:14
sheldon-season-1-common;Sheldon;Common;2314;0,002;2,896;14/11/2022 01:25:17
jmks-season-1-common;JMK$;Common;2388;0,002;2,345;13/11/2022 22:02:32
jewel-usain-season-1-common;Jewel Usain;Common;2374;0,002;2,697;13/11/2022 21:06:14
thahomey-season-1-common;thaHomey;Common;2291;0,002;2,462;13/11/2022 05:28:14
jmks-season-1-common;JMK$;Common;2429;0,002;2,345;13/11/2022 00:40:16
azur-season-1-common;Azur;Common;2423;0,002;2,345;12/11/2022 21:09:17
so-la-lune-season-1-common;So La Lune;Common;2372;0,004;4,455;12/11/2022 18:25:09
winnterzuko-season-1-common;Winnterzuko;Common;2269;0,003;3,517;12/11/2022 17:13:15
zuukou-mayzie-season-1-common;Zuukou Mayzie;Common;2427;0,004;5,149;12/11/2022 15:32:16
livai-season-1-common;Livaï;Common;2400;0,002;2,697;12/11/2022 11:39:17
jmks-season-1-common;JMK$;Common;2357;0,002;2,345;12/11/2022 00:15:17
livai-season-1-common;Livaï;Common;2327;0,002;2,697;11/11/2022 18:46:13
le-reglement-season-1-common;Le Règlement;Common;2420;0,004;4,69;11/11/2022 18:36:13
zinee-season-1-common;Zinée;Common;2394;0,004;4,69;11/11/2022 16:01:14
moji-x-sboy-season-1-common;Moji x Sboy;Common;2445;0,003;3,048;11/11/2022 11:17:18
jeanjass-season-1-common;JeanJass;Common;2362;0,004;4,69;11/11/2022 10:33:14
di-meh-season-1-common;Di-Meh;Common;2359;0,002;2,345;11/11/2022 00:09:13
deen-burbigo-season-1-common;Deen Burbigo;Common;2393;0,005;6,273;10/11/2022 23:55:13
caballero-season-1-common;Caballero;Common;2467;0,005;5,862;10/11/2022 18:40:16
azur-season-1-common;Azur;Common;2495;0,002;2,462;10/11/2022 17:12:13
deen-burbigo-season-1-common;Deen Burbigo;Common;2335;0,005;5,51;10/11/2022 17:11:14
jeanjass-season-1-common;JeanJass;Common;2447;0,004;5,159;10/11/2022 15:44:13
slimka-season-1-common;Slimka;Common;2291;0,002;2,615;10/11/2022 15:38:14
azur-season-1-common;Azur;Common;2349;0,002;2,45;10/11/2022 12:35:13
so-la-lune-season-1-common;So La Lune;Common;2296;0,005;5,862;10/11/2022 10:56:15
caballero-season-1-common;Caballero;Common;2472;0,005;5,276;10/11/2022 10:30:15
zinee-season-1-common;Zinée;Common;2340;0,004;4,104;10/11/2022 09:45:14
youv-dee-season-1-common;Youv Dee;Common;2355;0,003;3,517;10/11/2022 09:34:15
mahdi-ba-season-1-common;Mahdi Ba;Common;2491;0,003;2,931;10/11/2022 09:23:16
sheldon-season-1-common;Sheldon;Common;2464;0,002;2,884;10/11/2022 09:14:14
skuna-season-1-common;Skuna;Common;2479;0,002;2,697;10/11/2022 09:05:14
jwles-season-1-common;Jwles;Common;2368;0,002;2,556;10/11/2022 08:02:14
thahomey-season-1-common;thaHomey;Common;2359;0,002;2,462;10/11/2022 04:45:13
rowjay-season-1-common;Rowjay;Common;2385;0,002;2,345;09/11/2022 21:58:15
slimka-season-1-common;Slimka;Common;2355;0,002;1,759;09/11/2022 03:46:22
youv-dee-season-1-common;Youv Dee;Common;2404;0,003;3,517;08/11/2022 23:52:13
caballero-season-1-common;Caballero;Common;2302;0,004;5,041;08/11/2022 19:08:14
jeanjass-season-1-common;JeanJass;Common;2297;0,004;4,69;08/11/2022 19:04:13
zinee-season-1-common;Zinée;Common;2322;0,004;4,69;08/11/2022 19:02:13
sheldon-season-1-common;Sheldon;Common;2262;0,002;2,697;08/11/2022 18:45:13
benjamin-epps-season-1-common;Benjamin Epps;Common;2261;0,003;3,4;08/11/2022 13:04:20
le-reglement-season-1-common;Le Règlement;Common;2251;0,004;4,104;08/11/2022 12:12:04
deen-burbigo-season-1-common;Deen Burbigo;Common;2445;0,005;5,276;08/11/2022 09:01:15
di-meh-season-1-common;Di-Meh;Common;2462;0,002;2,673;08/11/2022 00:39:14
azur-season-1-common;Azur;Common;2476;0,002;2,345;07/11/2022 23:31:14
winnterzuko-season-1-common;Winnterzuko;Common;2431;0,005;5,745;07/11/2022 19:04:15
slimka-season-1-common;Slimka;Common;2445;0,002;2,568;07/11/2022 18:41:14
thahomey-season-1-common;thaHomey;Common;2426;0,002;2,228;07/11/2022 17:50:14
youv-dee-season-1-common;Youv Dee;Common;2329;0,003;3,4;07/11/2022 17:02:14
skuna-season-1-common;Skuna;Common;2310;0,002;2,345;07/11/2022 17:00:17
benjamin-epps-season-1-common;Benjamin Epps;Common;2333;0,003;3,4;07/11/2022 16:17:17
livai-season-1-common;Livaï;Common;2323;0,002;1,876;07/11/2022 16:17:15
lycos-season-1-common;Lycos;Common;2355;0,002;1,759;07/11/2022 16:05:15
winnterzuko-season-1-common;Winnterzuko;Common;2372;0,004;5,194;07/11/2022 15:42:15
rowjay-season-1-common;Rowjay;Common;2297;0,002;2,345;07/11/2022 15:42:14
moji-x-sboy-season-1-common;Moji x Sboy;Common;2419;0,003;3,166;07/11/2022 15:19:15
livai-season-1-common;Livaï;Common;2264;0,002;2,474;07/11/2022 13:28:14
flem-season-1-common;Flem;Common;2470;0,004;4,69;07/11/2022 02:57:12
caballero-season-1-common;Caballero;Common;2457;0,004;4,948;07/11/2022 01:51:14
flem-season-1-common;Flem;Common;2409;0,004;4,69;07/11/2022 01:10:15
sheldon-season-1-common;Sheldon;Common;2372;0,002;2,153;06/11/2022 19:39:16
lycos-season-1-common;Lycos;Common;2409;0,002;2,814;06/11/2022 19:39:15
jewel-usain-season-1-common;Jewel Usain;Common;2456;0,002;2,579;06/11/2022 17:50:03
spider-zed-season-1-common;Spider Zed;Common;2304;0,003;3,107;06/11/2022 17:34:14
caballero-season-1-common;Caballero;Common;2377;0,004;4,338;06/11/2022 15:17:14
sheldon-season-1-common;Sheldon;Common;2415;0,002;2,45;06/11/2022 02:24:14
le-reglement-season-1-common;Le Règlement;Common;2251;0,004;4,104;06/11/2022 00:07:22
livai-season-1-common;Livaï;Common;2458;0,002;2,345;05/11/2022 23:50:13
azur-season-1-common;Azur;Common;2447;0,002;1,777;05/11/2022 22:22:14
jeanjass-season-1-common;JeanJass;Common;2409;0,003;3,881;05/11/2022 21:15:19
mahdi-ba-season-1-common;Mahdi Ba;Common;2423;0,002;2,579;05/11/2022 21:11:29
so-la-lune-season-1-common;So La Lune;Common;2386;0,005;5,862;05/11/2022 12:14:15
spider-zed-season-1-common;Spider Zed;Common;2403;0,002;2,345;05/11/2022 12:03:08
moji-x-sboy-season-1-common;Moji x Sboy;Common;2282;0,002;2,814;05/11/2022 11:07:14
livai-season-1-common;Livaï;Common;2427;0,002;2,321;05/11/2022 05:06:16
spider-zed-season-1-common;Spider Zed;Common;2336;0,002;2,345;05/11/2022 03:16:10
slimka-season-1-common;Slimka;Common;2327;0,002;2,345;05/11/2022 03:05:14
benjamin-epps-season-1-common;Benjamin Epps;Common;2309;0,002;2,919;05/11/2022 01:09:14
youv-dee-season-1-common;Youv Dee;Common;2426;0,003;3,283;04/11/2022 23:54:04
le-reglement-season-1-common;Le Règlement;Common;2280;0,005;5,276;04/11/2022 23:11:13
jwles-season-1-common;Jwles;Common;2426;0,002;1,777;04/11/2022 22:52:14
mahdi-ba-season-1-common;Mahdi Ba;Common;2487;0,002;2,462;04/11/2022 22:47:14
jewel-usain-season-1-common;Jewel Usain;Common;2263;0,002;2,445;04/11/2022 22:12:14
mahdi-ba-season-1-common;Mahdi Ba;Common;2485;0,002;2,333;04/11/2022 21:54:14
le-reglement-season-1-common;Le Règlement;Common;2488;0,004;5,159;04/11/2022 20:35:13
jmks-season-1-common;JMK$;Common;2424;0,001;1,595;04/11/2022 20:29:14
rowjay-season-1-common;Rowjay;Common;2461;0,002;2,11;04/11/2022 17:16:14
moji-x-sboy-season-1-common;Moji x Sboy;Common;2426;0,002;2,404;04/11/2022 17:05:15
deen-burbigo-season-1-common;Deen Burbigo;Common;2269;0,005;6,273;04/11/2022 15:13:12
sheldon-season-1-common;Sheldon;Common;2390;0,002;2,333;04/11/2022 13:28:07
zuukou-mayzie-season-1-common;Zuukou Mayzie;Common;2391;0,004;5,159;03/11/2022 22:06:15
winnterzuko-season-1-common;Winnterzuko;Common;2376;0,004;4,807;03/11/2022 20:28:14
jmks-season-1-common;JMK$;Common;2439;0,002;1,993;03/11/2022 20:23:18
rowjay-season-1-common;Rowjay;Common;2270;0,002;1,981;03/11/2022 14:46:10
